task,setting,model,ratio,neg_per_pos,n_pos,n_neg,prevalence,auprc,auprc_over_floor,auroc
task1,transductive,transe,0.5,0.5,1008,504,0.6666666666666666,0.5796133627227337,0.8694200440841006,0.36247519841269843
task1,transductive,transe,1,1.0,504,504,0.5,0.41425338052868954,0.8285067610573791,0.3667465828924162
task1,transductive,transe,2,2.0,252,504,0.3333333333333333,0.25797584322572487,0.7739275296771746,0.3543398841017889
task1,transductive,transe,5,5.0,100,500,0.16666666666666666,0.12228810721132055,0.7337286432679233,0.34786
task1,transductive,transe,10,10.0,50,500,0.09090909090909091,0.06504145818095608,0.7154560399905169,0.33868
task1,transductive,tucker,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8960348807496361,0.9776840544791275,0.364885292995038
task1,transductive,tucker,0.5,0.5,1008,504,0.6666666666666666,0.625770643663325,0.9386559654949875,0.38068664965986393
task1,transductive,tucker,1,1.0,504,504,0.5,0.4496704422000919,0.8993408844001838,0.36885078105316205
task1,transductive,tucker,2,2.0,252,504,0.3333333333333333,0.28976374115867265,0.869291223476018,0.3715199042579995
task1,transductive,tucker,5,5.0,100,500,0.16666666666666666,0.15623937859594791,0.9374362715756875,0.43012
task1,transductive,tucker,10,10.0,50,500,0.09090909090909091,0.0639218750510557,0.7031406255616127,0.31903999999999993
task1,transductive_with_bridges,cn,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8776368185852776,0.9576095100636686,0.33861363655930643
task1,transductive_with_bridges,cn,0.5,0.5,1008,504,0.6666666666666666,0.5743827805495308,0.8615741708242963,0.33932803445452253
task1,transductive_with_bridges,cn,1,1.0,504,504,0.5,0.40765383110591064,0.8153076622118213,0.3318747637944067
task1,transductive_with_bridges,cn,2,2.0,252,504,0.3333333333333333,0.26280324155660373,0.7884097246698112,0.3484819853867473
task1,transductive_with_bridges,cn,5,5.0,100,500,0.16666666666666666,0.15576966150105376,0.9346179690063225,0.40551000000000004
task1,transductive_with_bridges,cn,10,10.0,50,500,0.09090909090909091,0.06694519513554989,0.7363971464910488,0.29952
task1,transductive_with_bridges,complex,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8894910499209369,0.9705439317072598,0.3468929095172089
task1,transductive_with_bridges,complex,0.5,0.5,1008,504,0.6666666666666666,0.6038030757926633,0.905704613688995,0.36332160178886375
task1,transductive_with_bridges,complex,1,1.0,504,504,0.5,0.4457645650365069,0.8915291300730138,0.3518636621315193
task1,transductive_with_bridges,complex,2,2.0,252,504,0.3333333333333333,0.2650720588410236,0.7952161765230708,0.33770313681027964
task1,transductive_with_bridges,complex,5,5.0,100,500,0.16666666666666666,0.1288077517551172,0.7728465105307032,0.34186000000000005
task1,transductive_with_bridges,complex,10,10.0,50,500,0.09090909090909091,0.0640779807637619,0.7048577884013808,0.28628000000000003
